"","company","city","state","companysize","industy","statistics","python","machine learning","engineering","computer science","r","mathematics","economics","sql","data mining","java","operations research","physics","hive","sas","applied mathematics","clustering","econometrics","hadoop","math","genetic information","spark","algorithms","data science","deep learning","development","marketing","matlab","statistical analysis","statistical modeling","modeling","predictive modeling"
"89","The Morning Consult, LLC","Washington","DC","1-50","Research & Development",1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"90","Microsoft","Redmond","WA","10000+","Computer Hardware & Software",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0
"91","Accolade","Seattle","WA","501-1000","Health Care Services & Hospitals",1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0
"92","Deloitte","Dayton","OH","10000+",NA,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
"93","Becton Dickinson and Company","San Diego","CA","10000+","Health Care Products Manufacturing",0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0
"94","Engie","Charlotte","NC","10000+","Energy",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"95","Automated Insights","Durham","NC","51-200","Computer Hardware & Software",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
"96","The Hartford","Charlotte","NC","10000+","Insurance Carriers",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
"97","UTC Aerospace Systems","Charlotte","NC","10000+","Aerospace & Defense",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"98","Willis Towers Watson","Philadelphia","PA","10000+","Consulting",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","NBA","New York","NY","1001-5000","Sports & Recreation",1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
"100","Credit Karma","San Francisco","CA","501-1000","Financial Analytics & Research",1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
"101","IntraEdge","New York","NY","501-1000","IT Services",1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
"102","TrueMotion","Boston","MA","1-50","Computer Hardware & Software",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0
"103","Smule","San Francisco","CA","51-200","Internet",1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"104","JPS Health Network","Fort Worth","TX","5001-10000","Health Care Services & Hospitals",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"105","Impaq International","Columbia","MD","201-500","Consulting",1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1
"106","Remind","San Francisco","CA","51-200","Computer Hardware & Software",1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"107","Adobe","San Jose","CA","10000+","Computer Hardware & Software",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"108","Bank of America","Charlotte","NC","10000+","Banks & Credit Unions",1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0
"109","Exxon Mobil","Houston","TX","10000+","Oil & Gas Exploration & Production",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"110","Walmart","Plano","TX","10000+",NA,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
"111","Barclays","New York","NY","10000+",NA,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0
"112","Intel Corporation","Phoenix","AZ","10000+","Computer Hardware & Software",1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
"113","CSI Tech","Tampa","FL","1-50",NA,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0
"114","SparkCognition","Austin","TX","51-200","Enterprise Software & Network Solutions",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"115","Art.com","Emeryville","CA","501-1000","Home Furniture & Housewares Stores",1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
"116","LumenData","Silver Spring","MD","1-50",NA,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
